species,stage,growthRate,growthUnit,growthMass,growthMassUnit,growthMassDryWet,growthTempKelvin,growthDataPosition,growthDataOBS,metabolicRate,metabolicUnit,metabolicMass,metabolicMassUnit,metabolicMassDryWet,metabolicTempKelvin,metabolicDataPosition,metabolicDataOBS,reference,,,
Scophthalmus maximus,juvenile,2.283217,g_d,151.3152,g,wet,290.15,fig 1a; p 878,"growth calculated as instantaneousGrowth(158.5739, 129.6246, 42, 28); mass at day 37.5 calculated as 129.6246 + instantaneousGrowth(158.5739, 129.6246, 42, 28)*(37.5-28)",1102.725,umolO2_h,151.3152,g,wet,290.15,fig 2a; p 879,,pichavant_k_2001_j59_875,,,
Dicentrarchus labrax,juvenile,0.3176253,g_d,85.50564,g,wet,295.15,fig 1b; p 878,"growth calculated as instantaneousGrowth(86.823, 82.4882, 42, 28); mass at day 37.5 calculated as 82.4882 + instantaneousGrowth(86.823, 82.4882, 42, 28) * (37.5-28)",869.9669,umolO2_h,85.50564,g,wet,295.15,fig 2b; p 879,,pichavant_k_2001_j59_875,,,
Scophthalmus maximus,juvenile,0.4460979,g_d,70.437,g,wet,281.15,fig 1e; p 683,"growth calculated as instantaneousGrowth(70.437  , 64.4605  , 85, 71)",165.4776,umolO2_h,70.437,g,wet,281.15,fig 3; p 688,,burel_c_1996_j49_678,,,
Scophthalmus maximus,juvenile,0.701952,g_d,83.6155,g,wet,284.15,fig 1e; p 683,"growth calculated as instantaneousGrowth(83.6155 , 74.3437  , 85, 71)",269.8774,umolO2_h,83.6155,g,wet,284.15,fig 3; p 688,,burel_c_1996_j49_678,,,
Scophthalmus maximus,juvenile,0.763803,g_d,92.0172,g,wet,287.15,fig 1e; p 683,"growth calculated as instantaneousGrowth(92.0172 , 81.9219  , 85, 71)",505.6529,umolO2_h,92.0172,g,wet,287.15,fig 3; p 688,,burel_c_1996_j49_678,,,
Scophthalmus maximus,juvenile,1.3276605,g_d,103.5478,g,wet,290.15,fig 1e; p 683,"growth calculated as instantaneousGrowth(103.5478, 86.5333  , 85, 71)",646.3971,umolO2_h,103.5478,g,wet,290.15,fig 3; p 688,,burel_c_1996_j49_678,,,
Anarhichas minor,juvenile,0.7306699,g_d,102.076,g,wet,281.15,table 1; p 110,"growth calculated as instantaneousGrowth(117.9, 95.5, 35, 1); mass calculated for 23rd Jan, i.e., 9 days after 14th Jan (95.5 g), assuming fixed growth rate between 14th Jan and 11th Feb; mass at 23rd Jan estimated as  95.5 + instantaneousGrowth(117.9, 95.5, 35, 1) * 9",8.22088,mgO2_h,102.076,g,wet,281.15,fig 2; p 112,,foss_a_2003_a224_105,,,
Dicentrarchus labrax,juvenile,0.5701465,g_d,108.1089,g,wet,286.15,fig 1; p 274,"growth calculated as instantaneousGrowth(108.1089, 100.4144, 56, 42)",15.36427,mgO2_h,108.1089,g,wet,286.15,fig 3b; p 277,,person-le-ruyet_j_2004_a237_269,,,
Dicentrarchus labrax,juvenile,0.9749234,g_d,123.3526,g,wet,289.15,fig 1; p 274,"growth calculated as instantaneousGrowth(123.3526, 110.4317, 56, 42)",20.59678,mgO2_h,123.3526,g,wet,289.15,fig 3b; p 277,,person-le-ruyet_j_2004_a237_269,,,
Dicentrarchus labrax,juvenile,1.3501658,g_d,143.6775,g,wet,292.15,fig 1; p 274,"growth calculated as instantaneousGrowth(143.6775, 125.9658, 56, 42)",32.29778,mgO2_h,143.6775,g,wet,292.15,fig 3b; p 277,,person-le-ruyet_j_2004_a237_269,,,
Dicentrarchus labrax,juvenile,1.6729191,g_d,158.9213,g,wet,295.15,fig 1; p 274,"growth calculated as instantaneousGrowth(158.9213, 137.1445, 56, 42)",39.1559,mgO2_h,158.9213,g,wet,295.15,fig 3b; p 277,,person-le-ruyet_j_2004_a237_269,,,
Dicentrarchus labrax,juvenile,2.2033787,g_d,177.0686,g,wet,298.15,fig 1; p 274,"growth calculated as instantaneousGrowth(177.0686, 148.7588, 56, 42)",50.2821,mgO2_h,177.0686,g,wet,298.15,fig 3b; p 277,,person-le-ruyet_j_2004_a237_269,,,
Dicentrarchus labrax,juvenile,1.7671806,g_d,176.3427,g,wet,302.15,fig 1; p 274,"growth calculated as instantaneousGrowth(176.3427, 153.2593, 56, 42)",54.4046,mgO2_h,176.3427,g,wet,302.15,fig 3b; p 277,,person-le-ruyet_j_2004_a237_269,,,
Salmo fario,larvae,0.001204254,g_d,0.02013,g,wet,285.13,table 1; p 272,"growth calculated as instantaneousGrowth(0.02013 , 0.01786 , 59  , 57 )",0.01954847,mgO2_h,0.02013,g,wet,285.13,table 2; p 273,metabolic rates calculated as 0.67  cc/g/h * 0.02013 g * 4.9 cal/cc * 0.2958 mgO2/cal,wood_ah_1932_j9_271,,,
Salmo fario,larvae,0.003696807,g_d,0.04336,g,wet,285.13,table 1; p 272,"growth calculated as instantaneousGrowth(0.04336 , 0.02013 , 68  , 59 )",0.04147892,mgO2_h,0.04336,g,wet,285.13,table 2; p 273,metabolic rates calculated as 0.66  cc/g/h * 0.04336 g * 4.9 cal/cc * 0.2958 mgO2/cal,wood_ah_1932_j9_271,,,
Salmo fario,larvae,0.005209502,g_d,0.05703,g,wet,285.13,table 1; p 272,"growth calculated as instantaneousGrowth(0.05703 , 0.04336 , 71  , 68 )",0.05042286,mgO2_h,0.05703,g,wet,285.13,table 2; p 273,metabolic rates calculated as 0.61  cc/g/h * 0.05703 g * 4.9 cal/cc * 0.2958 mgO2/cal,wood_ah_1932_j9_271,,,
Salmo fario,larvae,0.005027335,g_d,0.06636,g,wet,285.13,table 1; p 272,"growth calculated as instantaneousGrowth(0.06636 , 0.05703 , 73  , 71 )",0.0519391,mgO2_h,0.06636,g,wet,285.13,table 2; p 273,metabolic rates calculated as 0.54  cc/g/h * 0.06636 g * 4.9 cal/cc * 0.2958 mgO2/cal,wood_ah_1932_j9_271,,,
Salmo fario,larvae,0.003273198,g_d,0.07262,g,wet,285.13,table 1; p 272,"growth calculated as instantaneousGrowth(0.07262 , 0.06636 , 75  , 73 )",0.05683872,mgO2_h,0.07262,g,wet,285.13,table 2; p 273,metabolic rates calculated as 0.54  cc/g/h * 0.07262 g * 4.9 cal/cc * 0.2958 mgO2/cal,wood_ah_1932_j9_271,,,
Salmo fario,larvae,0.0068683,g_d,0.09106,g,wet,285.13,table 1; p 272,"growth calculated as instantaneousGrowth(0.09106 , 0.07262 , 78  , 75 )",0.05939288,mgO2_h,0.09106,g,wet,285.13,table 2; p 273,metabolic rates calculated as 0.45  cc/g/h * 0.09106 g * 4.9 cal/cc * 0.2958 mgO2/cal,wood_ah_1932_j9_271,,,
Salmo fario,larvae,0.004467819,g_d,0.1113,g,wet,285.13,table 1; p 272,"growth calculated as instantaneousGrowth(0.11130 , 0.09106 , 83  , 78 )",0.06452818,mgO2_h,0.1113,g,wet,285.13,table 2; p 273,metabolic rates calculated as 0.40  cc/g/h * 0.11130 g * 4.9 cal/cc * 0.2958 mgO2/cal,wood_ah_1932_j9_271,,,
Salmo fario,larvae,0.001584228,g_d,0.06329,g,wet,280.13,table 1; p 272,"growth calculated as instantaneousGrowth(0.06329 , 0.05726 , 90  , 86 )",0.02889614,mgO2_h,0.06329,g,wet,280.13,table 2; p 273,metabolic rates calculated as 0.315 cc/g/h * 0.06329 g * 4.9 cal/cc * 0.2958 mgO2/cal,wood_ah_1932_j9_271,,,
Salmo fario,larvae,0.002720543,g_d,0.071,g,wet,280.13,table 1; p 272,"growth calculated as instantaneousGrowth(0.07100 , 0.06329 , 93  , 90 )",0.03241628,mgO2_h,0.071,g,wet,280.13,table 2; p 273,metabolic rates calculated as 0.315 cc/g/h * 0.07100 g * 4.9 cal/cc * 0.2958 mgO2/cal,wood_ah_1932_j9_271,,,
Salmo fario,larvae,0.001250766,g_d,0.07224,g,wet,280.13,table 1; p 272,"growth calculated as instantaneousGrowth(0.07224 , 0.07100 , 94  , 93 )",0.03298242,mgO2_h,0.07224,g,wet,280.13,table 2; p 273,metabolic rates calculated as 0.315 cc/g/h * 0.07224 g * 4.9 cal/cc * 0.2958 mgO2/cal,wood_ah_1932_j9_271,,,
Salmo fario,larvae,0.002437337,g_d,0.09562,g,wet,280.13,table 1; p 272,"growth calculated as instantaneousGrowth(0.09562 , 0.07224 , 105 , 94 )",0.02633277,mgO2_h,0.09562,g,wet,280.13,table 2; p 273,metabolic rates calculated as 0.19  cc/g/h * 0.09562 g * 4.9 cal/cc * 0.2958 mgO2/cal,wood_ah_1932_j9_271,,,
Salmo fario,larvae,0.002010195,g_d,0.11233,g,wet,280.13,table 1; p 272,"growth calculated as instantaneousGrowth(0.11233 , 0.09562 , 114 , 105)",0.02279387,mgO2_h,0.11233,g,wet,280.13,table 2; p 273,metabolic rates calculated as 0.14  cc/g/h * 0.11233 g * 4.9 cal/cc * 0.2958 mgO2/cal,wood_ah_1932_j9_271,,,
Salmo fario,larvae,0.000398059,g_d,0.05184,g,wet,276.13,table 1; p 272,"growth calculated as instantaneousGrowth(0.05184 , 0.04446 , 106 , 86 )",0.01653035,mgO2_h,0.05184,g,wet,276.13,table 2; p 273,metabolic rates calculated as 0.22  cc/g/h * 0.05184 g * 4.9 cal/cc * 0.2958 mgO2/cal,wood_ah_1932_j9_271,,,
Salmo fario,larvae,0.001034583,g_d,0.06482,g,wet,276.13,table 1; p 272,"growth calculated as instantaneousGrowth(0.06482 , 0.05184 , 120 , 106)",0.02066931,mgO2_h,0.06482,g,wet,276.13,table 2; p 273,metabolic rates calculated as 0.22  cc/g/h * 0.06482 g * 4.9 cal/cc * 0.2958 mgO2/cal,wood_ah_1932_j9_271,,,
Salmo fario,larvae,0.000480735,g_d,0.06856,g,wet,276.13,table 1; p 272,"growth calculated as instantaneousGrowth(0.06856 , 0.06482 , 128 , 120)",0.02186189,mgO2_h,0.06856,g,wet,276.13,table 2; p 273,metabolic rates calculated as 0.22  cc/g/h * 0.06856 g * 4.9 cal/cc * 0.2958 mgO2/cal,wood_ah_1932_j9_271,,,
Salmo fario,larvae,0.000959794,g_d,0.07928,g,wet,276.13,table 1; p 272,"growth calculated as instantaneousGrowth(0.07928 , 0.06856 , 140 , 128)",0.0183856,mgO2_h,0.07928,g,wet,276.13,table 2; p 273,metabolic rates calculated as 0.16  cc/g/h * 0.07928 g * 4.9 cal/cc * 0.2958 mgO2/cal,wood_ah_1932_j9_271,,,
Salmo fario,larvae,0.000696381,g_d,0.0946,g,wet,276.13,table 1; p 272,"growth calculated as instantaneousGrowth(0.09460 , 0.07928 , 164 , 140)",0.01782497,mgO2_h,0.0946,g,wet,276.13,table 2; p 273,metabolic rates calculated as 0.13  cc/g/h * 0.09460 g * 4.9 cal/cc * 0.2958 mgO2/cal,wood_ah_1932_j9_271,,,
Anguilla rostrata,larvae,0.001276411,g_d,0.73,g,wet,298.15,table 2; p 637,"growth calculated as instantaneousGrowth(0.73,0.7,25,1)",0.7626,mgO2_h,0.82,g,wet,298.15,table 4; p 638,,degani_g_1985_j27_635,,,
Micropterus salmoides,juvenile,0.06,g_d,8,g,wet,291.15,table 3; p 454,,0.9,mgO2_h,8,g,wet,291.15,table 3; p 454,,niimi_aj_1974_c52_447,,,
Micropterus salmoides,juvenile,0.07,g_d,8,g,wet,298.15,table 3; p 454,,1,mgO2_h,8,g,wet,298.15,table 3; p 454,,niimi_aj_1974_c52_447,,,
Micropterus salmoides,juvenile,0.08,g_d,8,g,wet,303.15,table 3; p 454,,1.2,mgO2_h,8,g,wet,303.15,table 3; p 454,,niimi_aj_1974_c52_447,,,
Micropterus salmoides,juvenile,0.31,g_d,50,g,wet,291.15,table 3; p 454,,4.3,mgO2_h,50,g,wet,291.15,table 3; p 454,,niimi_aj_1974_c52_447,,,
Micropterus salmoides,juvenile,0.37,g_d,50,g,wet,298.15,table 3; p 454,,4.3,mgO2_h,50,g,wet,298.15,table 3; p 454,,niimi_aj_1974_c52_447,,,
Micropterus salmoides,juvenile,0.47,g_d,50,g,wet,303.15,table 3; p 454,,6.5,mgO2_h,50,g,wet,303.15,table 3; p 454,,niimi_aj_1974_c52_447,,,
Micropterus salmoides,juvenile,0.55,g_d,100,g,wet,291.15,table 3; p 454,,7.6,mgO2_h,100,g,wet,291.15,table 3; p 454,,niimi_aj_1974_c52_447,,,
Micropterus salmoides,juvenile,0.59,g_d,100,g,wet,298.15,table 3; p 454,,8.5,mgO2_h,100,g,wet,298.15,table 3; p 454,,niimi_aj_1974_c52_447,,,
Micropterus salmoides,juvenile,1.07,g_d,100,g,wet,303.15,table 3; p 454,,15.5,mgO2_h,100,g,wet,303.15,table 3; p 454,,niimi_aj_1974_c52_447,,,
Micropterus salmoides,juvenile,0.68,g_d,150,g,wet,291.15,table 3; p 454,,9.3,mgO2_h,150,g,wet,291.15,table 3; p 454,,niimi_aj_1974_c52_447,,,
Micropterus salmoides,juvenile,0.69,g_d,150,g,wet,298.15,table 3; p 454,,10,mgO2_h,150,g,wet,298.15,table 3; p 454,,niimi_aj_1974_c52_447,,,
Micropterus salmoides,juvenile,1.39,g_d,150,g,wet,303.15,table 3; p 454,,20.1,mgO2_h,150,g,wet,303.15,table 3; p 454,,niimi_aj_1974_c52_447,,,
Hippoglossus hippoglossus,juvenile,0.6473136,g_d,71.2035,g,wet,285.15,fig 2; p 222,"growth calculated as instantaneousGrowth(71.2035 , 54.224  , 135.5479 , 105.5823)",8.715308,mgO2_h,71.2035,g,wet,285.15,table 1; p 223,,jonassen_tm_2000_a30_219,,,
Hippoglossus hippoglossus,juvenile,0.177838,g_d,29.4267,g,wet,279.15,fig 2; p 222,"growth calculated as instantaneousGrowth(29.4267 , 24.4421 , 136.0229 , 105.3126)",2.54541,mgO2_h,29.4267,g,wet,279.15,table 1; p 223,,jonassen_tm_2000_a30_219,,,
Pseudopleuronectes americanus,larvae,0.168812,ug_d,11.1916,ug,dry,275.15,fig 1; p 224,"growth calculated as instantaneousGrowth(11.1916   , 10.1074  , 20.6871 , 13.9318)",0.1841,ulO2_h,11.1916,ug,dry,275.15,fig 2a; p 226,rates obtained for masses that were close to the masses for which growth rates were available in fig 1,laurence_gc_1975_m32_223,,,
Pseudopleuronectes americanus,larvae,2.1966428,ug_d,29.545,ug,dry,278.15,fig 1; p 224,"growth calculated as instantaneousGrowth(29.545    , 10.1237  , 21.4324 , 7.0269 )",0.1557,ulO2_h,29.545,ug,dry,278.15,fig 2b; p 226,rates obtained for masses that were close to the masses for which growth rates were available in fig 2,laurence_gc_1975_m32_223,,,
Pseudopleuronectes americanus,larvae,5.7962356,ug_d,57.1085,ug,dry,278.15,fig 1; p 224,"growth calculated as instantaneousGrowth(57.1085   , 29.545   , 27.9257 , 21.4324)",0.534,ulO2_h,57.1085,ug,dry,278.15,fig 2b; p 226,rates obtained for masses that were close to the masses for which growth rates were available in fig 3,laurence_gc_1975_m32_223,,,
Pseudopleuronectes americanus,larvae,12.0813191,ug_d,119.5085,ug,dry,278.15,fig 1; p 224,"growth calculated as instantaneousGrowth(119.5085  , 57.1085  , 35.2303 , 27.9257)",1.569,ulO2_h,119.5085,ug,dry,278.15,fig 2b; p 226,rates obtained for masses that were close to the masses for which growth rates were available in fig 4,laurence_gc_1975_m32_223,,,
Pseudopleuronectes americanus,larvae,6.7691548,ug_d,636.5577,ug,dry,278.15,fig 1; p 224,"growth calculated as instantaneousGrowth(636.5577  , 593.4673 , 63.3494 , 56.758 )",2.595,ulO2_h,636.5577,ug,dry,278.15,fig 2b; p 226,rates obtained for masses that were close to the masses for which growth rates were available in fig 5,laurence_gc_1975_m32_223,,,
Pseudopleuronectes americanus,larvae,33.7475062,ug_d,1014.7132,ug,dry,278.15,fig 1; p 224,"growth calculated as instantaneousGrowth(1014.7132 , 636.5577 , 77.3696 , 63.3494)",1.7631,ulO2_h,1014.7132,ug,dry,278.15,fig 2b; p 226,rates obtained for masses that were close to the masses for which growth rates were available in fig 6,laurence_gc_1975_m32_223,,,
Pseudopleuronectes americanus,larvae,1.8423416,ug_d,22.224,ug,dry,281.15,fig 1; p 224,"growth calculated as instantaneousGrowth(22.224    , 11.054   , 13.8548 , 5.4303 )",0.1692,ulO2_h,22.224,ug,dry,281.15,fig 2c; p 226,rates obtained for masses that were close to the masses for which growth rates were available in fig 7,laurence_gc_1975_m32_223,,,
Pseudopleuronectes americanus,larvae,16.0889343,ug_d,85.8351,ug,dry,281.15,fig 1; p 224,"growth calculated as instantaneousGrowth(85.8351   , 22.224   , 21.0638 , 13.8548)",1.1572,ulO2_h,85.8351,ug,dry,281.15,fig 2c; p 226,rates obtained for masses that were close to the masses for which growth rates were available in fig 8,laurence_gc_1975_m32_223,,,
Pseudopleuronectes americanus,larvae,23.7271442,ug_d,202.398,ug,dry,281.15,fig 1; p 224,"growth calculated as instantaneousGrowth(202.398   , 85.8351  , 28.3811 , 21.0638)",1.9478,ulO2_h,202.398,ug,dry,281.15,fig 2c; p 226,rates obtained for masses that were close to the masses for which growth rates were available in fig 9,laurence_gc_1975_m32_223,,,
Pseudopleuronectes americanus,larvae,45.8523606,ug_d,423.597,ug,dry,281.15,fig 1; p 224,"growth calculated as instantaneousGrowth(423.597   , 202.398  , 35.204  , 28.3811)",4.5327,ulO2_h,423.597,ug,dry,281.15,fig 2c; p 226,rates obtained for masses that were close to the masses for which growth rates were available in fig 10,laurence_gc_1975_m32_223,,,
Pseudopleuronectes americanus,larvae,50.1857132,ug_d,703.7799,ug,dry,281.15,fig 1; p 224,"growth calculated as instantaneousGrowth(703.7799  , 423.597  , 42.3235 , 35.204 )",3.7364,ulO2_h,703.7799,ug,dry,281.15,fig 2c; p 226,rates obtained for masses that were close to the masses for which growth rates were available in fig 11,laurence_gc_1975_m32_223,,,
Pseudopleuronectes americanus,larvae,135.8563007,ug_d,1404.1507,ug,dry,281.15,fig 1; p 224,"growth calculated as instantaneousGrowth(1404.1507 , 703.7799 , 49.4625 , 42.3235)",3.8429,ulO2_h,1404.1507,ug,dry,281.15,fig 2c; p 226,rates obtained for masses that were close to the masses for which growth rates were available in fig 12,laurence_gc_1975_m32_223,,,
