"length_inf_cm","length_type","k_1_over_y","t_not_years","sex","m_1_over_y","temperature","l_m","theta","country","locality","questionable","captive","species","family","data_type"
22.5,"TL",0.155,-3.57,NA,NA,NA,NA,1.89,"Greece","Evoia (control)","No","No","Serranus cabrilla","Serranidae","&nbsp"
22.9,"TL",0.303,-1.24,NA,NA,NA,NA,2.2,"Greece","Chios (control)","No","No","Serranus cabrilla","Serranidae","&nbsp"
23.5,"TL",0.34,-0.7,NA,NA,NA,NA,2.27,"Greece","Crete Island","No","No","Serranus cabrilla","Serranidae","annuli on many otoliths"
23.8,"FL",0.3,-0.37,NA,0.68,14,NA,2.23,"Greece","N Aegean Sea; M: for Medas Is (Spain) 1996-99","No","No","Serranus cabrilla","Serranidae","annuli on many otoliths"
23.9,"TL",0.298,-1.58,NA,NA,NA,13.2,2.23,"Turkey","Izmir Bay","No","No","Serranus cabrilla","Serranidae","annuli on many otoliths"
27.6,"TL",0.189,-1.83,NA,NA,NA,NA,2.16,"Greece","Lesvos (control)","No","No","Serranus cabrilla","Serranidae","&nbsp"
30.8,"TL",0.193,-1.31,NA,NA,NA,NA,2.26,"Greece","Lesvos (total)","No","No","Serranus cabrilla","Serranidae","&nbsp"
31.3,"TL",0.205,-1,NA,NA,NA,NA,2.3,"Greece","Chios (total)","No","No","Serranus cabrilla","Serranidae","&nbsp"
31.9,"SL",0.095,-1.48,NA,NA,NA,NA,1.99,"Tunisia","SE Tunisian coasts","No","No","Serranus cabrilla","Serranidae","scale annual rings"
32.6,"TL",0.169,-1.49,NA,NA,NA,NA,2.25,"Greece","Lesvos (near cages)","No","No","Serranus cabrilla","Serranidae","&nbsp"
33.6,"FL",0.111,-3.17,NA,NA,18,15,2.1,"Turkey","Edremit Bay","No","No","Serranus cabrilla","Serranidae","annuli on many otoliths"
34.3,"TL",0.152,-1.55,NA,NA,NA,NA,2.25,"Greece","Evoia (total)","No","No","Serranus cabrilla","Serranidae","&nbsp"
37.1,"TL",0.097,-2.2,NA,NA,NA,NA,2.13,"Greece","Evoia (near cages)","No","No","Serranus cabrilla","Serranidae","&nbsp"
37.4,"TL",0.177,-0.78,NA,NA,NA,NA,2.39,"Greece","Chios (near cages)","No","No","Serranus cabrilla","Serranidae","&nbsp"
10.6,"SL",0.248,-0.44,NA,NA,NA,NA,1.45,"Tunisia","SE Tunisian coasts","No","No","Serranus hepatus","Serranidae","scale annual rings"
10.6,"TL",0.56,-1.14,NA,NA,NA,NA,1.8,"Turkey","Izmir Bay","No","No","Serranus hepatus","Serranidae","&nbsp"
12.5,"TL",0.19,-4.32,NA,NA,NA,NA,1.47,"Turkey","Bandirma Bay (40°25'3""N, 28°2'22""E), Sea of Marmara","Yes","No","Serranus hepatus","Serranidae","annuli on many otoliths"
12.6,"TL",0.54,-1.08,NA,NA,NA,NA,1.93,"Turkey","Uzunada, Aegean Sea","No","No","Serranus hepatus","Serranidae","&nbsp"
13.2,"TL",0.252,NA,NA,NA,NA,7.8,1.64,"Turkey","Izmir Bay, July 2004- June 2007","No","No","Serranus hepatus","Serranidae","length-frequencies"
13.2,"TL",0.25,-0.63,NA,NA,NA,NA,1.64,"Turkey","Izmir Bay","No","No","Serranus hepatus","Serranidae","&nbsp"
14.7,"TL",0.23,-2.56,NA,NA,NA,NA,1.7,"Greece","Thermaikos Gulf, Aegean Sea","No","No","Serranus hepatus","Serranidae","&nbsp"
14.8,"TL",0.217,-1.67,NA,NA,NA,NA,1.68,"Croatia","Adriatic Sea (Croatian coast)","No","No","Serranus hepatus","Serranidae","&nbsp"
15.2,"TL",0.36,-0.57,NA,NA,NA,NA,1.92,"Greece","Cretan Shelf","No","No","Serranus hepatus","Serranidae","&nbsp"
15.3,"TL",0.36,-0.58,NA,NA,NA,NA,1.93,"Greece","Crete Island","No","No","Serranus hepatus","Serranidae","scale annual rings"
22.4,"SL",0.159,-1.36,NA,NA,NA,NA,1.9,"Tunisia","SE Tunisian coasts","No","No","Serranus scriba","Serranidae","scale annual rings"
26.9,"TL",0.237,-1.02,"FALSE",NA,19,NA,2.23,"Egypt","Eastern Harbour, Anfoushy, Alexandria","No","No","Serranus scriba","Serranidae","scale annual rings"
30.4,"TL",0.192,-0.37,NA,NA,NA,NA,2.25,"Croatia","Trogir Bay","No","No","Serranus scriba","Serranidae","annuli on many otoliths"
33,"",0.22,-0.1,NA,NA,NA,NA,2.38,"","","No","No","Serranus scriba","Serranidae","&nbsp"
33.2,"TL",0.219,-1.02,NA,NA,19,NA,2.38,"Egypt","Eastern Harbour, Anfoushy, Alexandria","No","No","Serranus scriba","Serranidae","scale annual rings"
8.9,"NG",0.57,NA,NA,NA,26,NA,1.65,"USA","Gulf coast of Florida","No","No","Serranus subligarius","Serranidae","&nbsp"
76,"TL",0.3,NA,NA,0.5,4,NA,3.24,"USA","California current","No","No","Serrivomer sector","Serrivomeridae","annuli on many otoliths"
40.7,"TL",0.243,-0.79,NA,NA,NA,NA,2.6,"India",NA,"No","No","Setipinna phasa","Engraulidae","scale annual rings"
20.5,"TL",0.332,NA,NA,NA,27.6,NA,2.14,"India","Hoogly-Mattah estuary (lower Sunderbans)","No","No","Setipinna taty","Engraulidae","length-frequencies"
31,"FL",0.75,NA,"",NA,28,NA,2.86,NA,NA,"No","No","Siganus argenteus","Siganidae","length-frequencies"
31.5,"",0.5,-0.09,"M",NA,NA,NA,2.7,NA,NA,"No","No","Siganus argenteus","Siganidae","&nbsp"
34,"",0.433,-0.16,"F",NA,NA,NA,2.7,NA,NA,"No","No","Siganus argenteus","Siganidae","&nbsp"
16.1,"TL",3.3,-0.09,"",NA,NA,NA,2.93,"","Aquaria","No","Yes","Siganus canaliculatus","Siganidae","direct observation"
16.3,"TL",3.3,-0.07,"",NA,NA,NA,2.94,"","aquaria","No","Yes","Siganus canaliculatus","Siganidae","direct observation"
16.5,"TL",2.46,0.03,"",NA,NA,NA,2.83,"Philippines","Sto. Tomas, La Union (Mar-Sept 1981)","No","Yes","Siganus canaliculatus","Siganidae","annuli on many otoliths"
20.6,"",2.057,NA,"",NA,NA,NA,2.94,"","","No","No","Siganus canaliculatus","Siganidae","&nbsp"
23,"TL",0.6,NA,"",NA,27.9,NA,2.5,"Malaysia","Peninsular west coast","No","No","Siganus canaliculatus","Siganidae","length-frequencies"
23.5,"FL",1.2,-0.1,"M",NA,NA,21.5,2.82,"United Arab Em.","southern Arabian Gulf","No","No","Siganus canaliculatus","Siganidae","annuli on many otoliths"
24.5,"TL",0.67,-0.02,"",NA,NA,NA,2.6,"India","Gulf of Mannar (Nov 2000 - Oct 2002)","No","No","Siganus canaliculatus","Siganidae","length-frequencies"
25.2,"TL",1.872,0.02,"",NA,28.5,NA,3.08,"Philippines","Southern Negros Is.","No","No","Siganus canaliculatus","Siganidae","&nbsp"
25.5,"FL",0.9,-0.1,"F",NA,NA,25.7,2.77,"United Arab Em.","southern Arabian Gulf","No","No","Siganus canaliculatus","Siganidae","annuli on many otoliths"
28.1,"FL",1.95,NA,"",NA,28,NA,3.19,"Palau","","No","No","Siganus canaliculatus","Siganidae","length-frequencies"
29,"",1.25,NA,"",2.09,NA,9.1,3.02,"Philippines","Davao Gulf","No","No","Siganus canaliculatus","Siganidae","length-frequencies"
30.8,"TL",1.548,-0.08,"",NA,NA,NA,3.17,"Guam","Aquaria","No","Yes","Siganus canaliculatus","Siganidae","direct observation"
31.6,"TL",1.978,-0.15,"",NA,28.5,NA,3.3,"Philippines","Sea Cages, Mactan Is.","No","Yes","Siganus canaliculatus","Siganidae","&nbsp"
34.5,"TL",1.73,0.04,"",NA,NA,NA,3.31,"Philippines","Sto. Tomas, La Union (Mar-Sept 1981)","No","No","Siganus canaliculatus","Siganidae","annuli on many otoliths"
25,"TL",0.85,NA,NA,NA,28,NA,2.73,"Philippines","Bolinao, Pangasinan","No","No","Siganus fuscescens","Siganidae","length-frequencies"
16.4,"TL",1.28,-0.08,NA,NA,NA,NA,2.54,"Philippines","Sto. Tomas, La Union (Mar-Sept 1981)","No","Yes","Siganus guttatus","Siganidae","annuli on many otoliths"
32.7,"TL",1.659,-0.22,NA,NA,28.5,NA,3.25,"Philippines","Sea Cages, Mactan Is.","No","Yes","Siganus guttatus","Siganidae","&nbsp"
35.3,"TL",1.4,0.01,NA,NA,NA,NA,3.24,"Philippines","Sto. Tomas, La Union (Mar-Sept 1981)","No","No","Siganus guttatus","Siganidae","annuli on many otoliths"
33.6,"FL",0.6,NA,NA,NA,28,NA,2.83,"Palau",NA,"No","No","Siganus lineatus","Siganidae","length-frequencies"
27.5,"TL",0.33,1.04,NA,NA,NA,NA,2.4,"Lebanon","Batrun (33°03'N, 35°22'E; 34°35'N, 36°37'E)","Yes","No","Siganus luridus","Siganidae","annuli on many otoliths"
30,"TL",0.213,-0.78,NA,NA,NA,NA,2.28,"Libya","Gulf of Sirt, west coast","No","No","Siganus luridus","Siganidae","annuli on many otoliths"
21.1,"TL",0.343,-0.54,"M",NA,NA,NA,2.18,"Turkey","Antalya Bay","No","No","Siganus rivulatus","Siganidae","scale annual rings"
22.6,"TL",0.267,-0.47,"F",NA,NA,NA,2.13,"Turkey","Antalya Bay","No","No","Siganus rivulatus","Siganidae","scale annual rings"
31.8,"TL",0.225,-1.31,"",NA,NA,NA,2.36,"Lebanon","Batrun, northern coast of Lebanon","No","No","Siganus rivulatus","Siganidae","annuli on many otoliths"
35,"TL",0.16,-1.04,"",NA,NA,NA,2.29,"Libya","Gulf of Sirt, east coast","No","No","Siganus rivulatus","Siganidae","annuli on many otoliths"
42,"TL",1.016,NA,"",NA,22,NA,3.25,"Israel","(Mediterranean coast)","No","No","Siganus rivulatus","Siganidae","&nbsp"
24.4,"TL",2.321,-0.21,NA,NA,28.5,NA,3.14,"Philippines","Sea Cages, Mactan Is.","No","Yes","Siganus spinus","Siganidae","&nbsp"
25,"TL",1.5,NA,NA,NA,27.2,NA,2.97,"Tanzania","Dar es Salaam","No","No","Siganus sutor","Siganidae","length-frequencies"
36.2,"SL",0.87,NA,NA,NA,27.2,NA,3.06,"Kenya","Mombasa Island","No","No","Siganus sutor","Siganidae","daily otolith rings"
49.9,"TL",0.657,0.06,NA,NA,25.5,NA,3.21,"Mauritius","East coast lagoon","No","No","Siganus sutor","Siganidae","annuli on many otoliths"
52.1,"FL",0.511,-0.36,NA,NA,27,NA,3.14,"Seychelles","St. Anne National Marine Park","No","No","Siganus sutor","Siganidae","annuli on many otoliths"
18.7,"TL",1.5,-0.02,NA,NA,NA,NA,2.72,"Philippines","Sto. Tomas, La Union (Mar-Sept 1981)","No","Yes","Siganus vermiculatus","Siganidae","annuli on many otoliths"
31,"TL",1.9,NA,NA,NA,NA,NA,3.26,"Fiji","Ponds","No","Yes","Siganus vermiculatus","Siganidae","&nbsp"
33.4,"TL",1.76,0.03,NA,NA,NA,NA,3.29,"Philippines","Sto. Tomas, La Union (Mar-Sept 1981)","No","No","Siganus vermiculatus","Siganidae","annuli on many otoliths"
45,"TL",0.38,NA,NA,NA,23,NA,2.89,"Fiji","","No","No","Siganus vermiculatus","Siganidae","direct observation"
38.7,"TL",1.17,NA,"M",NA,17,NA,3.24,"Australia","West Coast, South Australia","No","No","Sillaginodes punctatus","Sillaginidae","annuli on many otoliths"
41.6,"TL",0.77,NA,"M",NA,17,NA,3.12,"Australia","Spencer Gulf, South Australia","No","No","Sillaginodes punctatus","Sillaginidae","annuli on many otoliths"
41.8,"TL",0.61,NA,"M",NA,17,NA,3.03,"Australia","Gulf of St. Vincent, South Australia","No","No","Sillaginodes punctatus","Sillaginidae","annuli on many otoliths"
45.4,"TL",0.7,NA,"F",NA,17,NA,3.16,"Australia","West Coast, South Australia","No","No","Sillaginodes punctatus","Sillaginidae","annuli on many otoliths"
46.7,"TL",0.48,NA,"F",NA,17,NA,3.02,"Australia","Gulf of St. Vincent, South Australia","No","No","Sillaginodes punctatus","Sillaginidae","annuli on many otoliths"
49.3,"TL",0.49,NA,"F",NA,17,NA,3.08,"Australia","Spencer Gulf, South Australia","No","No","Sillaginodes punctatus","Sillaginidae","annuli on many otoliths"
50,"TL",0.53,0.16,"M",NA,20.5,30,3.12,"Australia","Southwest coast (32°-32°31' S)","Yes","No","Sillaginodes punctatus","Sillaginidae","annuli on many otoliths"
50,"",0.55,NA,"M",NA,NA,NA,3.14,"","","No","No","Sillaginodes punctatus","Sillaginidae","&nbsp"
53.2,"TL",0.47,0.13,"F",NA,20.5,34,3.12,"Australia","Southwest coast (32°-32°31' S)","No","No","Sillaginodes punctatus","Sillaginidae","&nbsp"
153,"TL",0.054,0.27,NA,NA,27.6,NA,3.1,"India","Hoogly Estuary, Bay of Bengal","Yes","No","Sillaginopsis panijus","Sillaginidae","annuli on many otoliths"
30.8,"FL",0.499,-0.52,NA,NA,23.9,NA,2.68,"Australia","Northern coasts","No","No","Sillago analis","Sillaginidae","&nbsp"
30.7,"TL",0.29,-0.75,"M",NA,12.5,20,2.44,"Australia","West coast (31°55'S-32°26'S)","No","No","Sillago bassensis","Sillaginidae","annuli on many otoliths"
32.9,"TL",0.26,-0.8,"F",NA,19.5,20,2.45,"Australia","West coast (31°55'S-32°26'S)","No","No","Sillago bassensis","Sillaginidae","annuli on many otoliths"
17.9,"TL",2.44,0,"M",NA,21,NA,2.89,"Australia","West  coast (31°58'-32°28' S)","No","No","Sillago burrus","Sillaginidae","&nbsp"
18.7,"TL",2.37,0.01,"F",NA,21,NA,2.92,"Australia","West  coast (31°58'-32°28' S)","No","No","Sillago burrus","Sillaginidae","&nbsp"
29.7,"FL",0.49,-0.67,"M",NA,NA,17.1,2.64,"Australia","Clarence River, south-eastern coast","No","No","Sillago ciliata","Sillaginidae","&nbsp"
33.8,"FL",0.5,-0.57,"F",NA,NA,19.1,2.76,"Australia","south-eastern coast","No","No","Sillago ciliata","Sillaginidae","&nbsp"
36.5,"TL",0.677,NA,"",NA,15,NA,2.96,"Australia","New South Wales, 10 m","No","No","Sillago ciliata","Sillaginidae","&nbsp"
38.6,"TL",0.393,-0.67,"",NA,24.4,NA,2.77,"Australia","Burnett and Maroochy River and Pumiceston Passage","No","No","Sillago ciliata","Sillaginidae","&nbsp"
23.9,NA,0.46,-0.5,NA,NA,15,NA,2.42,"Australia",NA,"No","No","Sillago flindersi","Sillaginidae","&nbsp"
16.9,"TL",1.03,-0.11,"F",NA,19.5,12.3,2.47,"Australia","West coast (31°55'S-32°26'S)","No","No","Sillago robusta","Sillaginidae","annuli on many otoliths"
17.2,"TL",0.98,-0.04,"M",NA,12.5,12,2.46,"Australia","West coast (31°55'S-32°26'S)","No","No","Sillago robusta","Sillaginidae","annuli on many otoliths"
32.5,"TL",0.49,-0.22,"M",NA,12.5,NA,2.71,"Australia","Southwestern coasts","No","No","Sillago schomburgkii","Sillaginidae","annuli on many otoliths"
32.5,"",0.53,NA,"M",NA,NA,NA,2.75,"","","No","No","Sillago schomburgkii","Sillaginidae","&nbsp"
33.3,"TL",0.53,-0.16,"F",NA,12.5,NA,2.77,"Australia","Southwestern coasts, 1991-93; 1995","No","No","Sillago schomburgkii","Sillaginidae","annuli on many otoliths"
33.3,"",0.52,NA,"F",NA,NA,NA,2.76,"","","No","No","Sillago schomburgkii","Sillaginidae","&nbsp"
23.5,"TL",0.7,NA,NA,NA,28.2,NA,2.59,"Philippines","Manila Bay","No","No","Sillago sihama","Sillaginidae","length-frequencies"
26.1,"TL",0.66,NA,NA,NA,NA,NA,2.65,"Taiwan","Taiwan Strait and adjacent waters","No","No","Sillago sihama","Sillaginidae","&nbsp"
28.1,"TL",0.75,NA,NA,1.1,12.5,13,2.77,"India","Gulf of Mannar","No","No","Sillago sihama","Sillaginidae","&nbsp"
40.7,"TL",1.223,0.27,NA,NA,NA,22.5,3.31,"India","Pulicat Lake","Yes","No","Sillago sihama","Sillaginidae","annuli on many otoliths"
31.2,"TL",0.45,-0.23,"M",NA,21,NA,2.64,"Australia","West  coast (31°58'-32°28' S)","No","No","Sillago vittata","Sillaginidae","&nbsp"
33.1,"TL",0.43,-0.21,"F",NA,21,NA,2.67,"Australia","West  coast (31°58'-32°28' S)","No","No","Sillago vittata","Sillaginidae","&nbsp"
44.5,"TL",0.099,-0.31,"M",NA,NA,NA,2.29,"Greece","Lake Trichonis-Lysimachia","No","No","Silurus aristotelis","Siluridae","others"
45.5,"TL",0.1,-0.32,"",NA,NA,NA,2.32,"Greece","Lake Trichonis-Lysimachia","No","No","Silurus aristotelis","Siluridae","others"
46.4,"TL",0.1,-0.34,"F",NA,NA,NA,2.33,"Greece","Lake Trichonis-Lysimachia","No","No","Silurus aristotelis","Siluridae","others"
95.7,"TL",0.11,NA,NA,NA,NA,NA,3,"Russia","Amur River basin","No","No","Silurus asotus","Siluridae","other annual rings"
125,"TL",0.225,-1.86,"F",NA,NA,NA,3.55,"Spain","Ebro and Ter rivers, Catalonia","Yes","No","Silurus glanis","Siluridae","other annual rings"
228,"TL",0.085,-2.45,"M",NA,NA,NA,3.65,"Spain","Ebro and Ter rivers, Catalonia","No","No","Silurus glanis","Siluridae","other annual rings"
260,"TL",0.064,-1.33,"F",NA,20,NA,3.64,"Turkey","Menzelet Reservoir (37°43'8""N, 36°51'59""E), 700 m alt., River Ceyhan","No","No","Silurus glanis","Siluridae","other annual rings"
296,"TL",0.042,NA,"",NA,NA,NA,3.57,"Kazakhstan","Aral Lake","No","No","Silurus glanis","Siluridae","&nbsp"
303,"TL",0.051,-1.59,"M",NA,19.5,NA,3.67,"Turkey","Menzelet Reservoir (37°43'8""N, 36°51'59""E), 700 m alt., River Ceyhan","No","No","Silurus glanis","Siluridae","other annual rings"
357,"SL",0.043,-0.17,"",NA,NA,NA,3.73,"Hungary","River Tisza (Tiszafüred stretch)","Yes","No","Silurus glanis","Siluridae","other annual rings"
114,"SL",0.102,-1.69,"M",NA,NA,NA,3.12,"Turkey","Ataturk Dam lake","No","No","Silurus triostegus","Siluridae","other annual rings"
133.4,"SL",0.082,-1.69,"",NA,NA,NA,3.16,"Turkey","Ataturk Dam lake","No","No","Silurus triostegus","Siluridae","other annual rings"
202.9,"SL",0.047,-2.05,"F",NA,NA,NA,3.29,"Turkey","Ataturk Dam lake","Yes","No","Silurus triostegus","Siluridae","other annual rings"
64.3,"TL",0.16,NA,NA,NA,NA,NA,2.82,"Russia","Amur River","No","No","Siniperca chuatsi","Percichthyidae","scale annual rings"
86.9,"SL",0.149,-0.54,NA,NA,NA,NA,3.05,"China","Bao'an Lake, Yangtze River","No","No","Siniperca chuatsi","Percichthyidae","scale annual rings"
42.5,"TL",0.508,0.4,NA,NA,NA,NA,2.96,"China","Sandaohe Reservoir, Hubei","No","No","Siniperca knerii","Percichthyidae","&nbsp"
44.6,"TL",0.275,-0.27,NA,NA,NA,NA,2.74,"China","North River, Guangdong","No","No","Siniperca knerii","Percichthyidae","&nbsp"
54.7,"TL",0.179,NA,NA,NA,22.4,NA,2.73,"China","Dongjiang River","No","No","Siniperca knerii","Percichthyidae","&nbsp"
59,"TL",0.269,-0.25,NA,NA,NA,NA,2.97,"China","Guishi Reservoir, Guangxi Province","No","No","Siniperca knerii","Percichthyidae","scale annual rings"
30.3,"FL",0.33,-0.16,NA,NA,NA,NA,2.48,NA,"Lake of Woods, Oregon","No","No","Siphateles bicolor","Cyprinidae","scale"
40.9,"SL",0.19,NA,NA,NA,NA,NA,2.5,NA,"Eagle Lake, California","No","No","Siphateles bicolor","Cyprinidae","scale"
30.9,"TL",0.53,-0.33,NA,NA,NA,NA,2.7,"Egypt","Southeast Mediterranean","No","No","Solea aegyptiaca","Soleidae","&nbsp"
37.5,"TL",0.42,-0.4,NA,NA,NA,NA,2.77,"Egypt","Bardawil Lagoon","No","No","Solea aegyptiaca","Soleidae","annuli on many otoliths"
50.7,"TL",0.186,NA,"M",NA,NA,35,2.68,"Portugal",NA,"No","No","Solea senegalensis","Soleidae","&nbsp"
55.1,"TL",0.178,NA,"F",NA,NA,35,2.73,"Portugal",NA,"No","No","Solea senegalensis","Soleidae","&nbsp"
19.6,"TL",0.279,NA,"M",NA,16.4,NA,2.03,"Netherlands","Dutch ports","Yes","No","Solea solea","Soleidae","annuli on many otoliths"
23.2,"TL",0.828,-1.66,"M",NA,NA,NA,2.65,"Italy","Adriatic Sea","No","No","Solea solea","Soleidae","annuli on many otoliths"
24.5,"TL",0.582,NA,"M",NA,16.2,NA,2.54,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
26,"TL",0.221,-1.31,"M",NA,NA,14.8,2.17,"Turkey","Iskenderun Bay","No","No","Solea solea","Soleidae","annuli on many otoliths"
28.2,"TL",0.252,NA,"M",NA,16,27.5,2.3,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
29.9,"TL",0.377,-2.1,"M",NA,17.5,NA,2.53,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
29.9,"TL",0.181,-1.55,"F",NA,NA,15.2,2.21,"Turkey","Iskenderun Bay","No","No","Solea solea","Soleidae","annuli on many otoliths"
30,"TL",0.33,-1.51,"",NA,NA,NA,2.47,"Egypt","Bardawil Lagoon","No","No","Solea solea","Soleidae","&nbsp"
30.1,"TL",0.289,-4.2,"M",NA,15.3,NA,2.42,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
30.2,"TL",0.393,-2,"M",NA,16.7,NA,2.55,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
30.7,"TL",0.556,-0.8,"M",NA,16.9,26.5,2.72,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
31.1,"TL",0.33,-1.04,"M",NA,NA,NA,2.5,"Turkey","Izmir Bay, Aegean Sea","No","No","Solea solea","Soleidae","annuli on many otoliths"
31.2,"TL",0.18,NA,"M",NA,16.4,NA,2.24,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
31.6,"TL",0.337,-2.1,"M",NA,15.7,27,2.53,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
32,"TL",0.378,-0.7,"M",NA,16,NA,2.59,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
33,"TL",0.415,0.04,"M",NA,16.1,27,2.66,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
33.5,"TL",0.302,-2.3,"M",NA,17.4,30,2.53,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
33.9,"TL",0.353,-3.2,"M",NA,17,30,2.61,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
34.2,"TL",0.359,-1.3,"M",NA,16.5,30.5,2.62,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
34.9,"TL",0.38,-0.41,"",NA,19,NA,2.67,"Greece","Amvrakikos Gulf","No","No","Solea solea","Soleidae","annuli on many otoliths"
35,"TL",0.495,0.1,"F",NA,16.2,NA,2.78,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
35.6,"TL",0.38,-0.5,"F",NA,16.7,NA,2.68,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
35.8,"TL",0.406,NA,"",NA,NA,NA,2.72,"Italy","Central Tyrrhenian Sea","No","No","Solea solea","Soleidae","length-frequencies"
36.2,"TL",0.294,-1.7,"M",NA,16.7,29.5,2.59,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
36.6,"TL",0.23,-3.4,"F",NA,16,NA,2.49,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
36.9,"TL",0.362,-0.3,"F",NA,17.5,NA,2.69,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
36.9,"TL",0.282,-2.3,"M",NA,16.1,29.5,2.58,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
37.4,"TL",0.31,NA,"",NA,12,NA,2.64,"Denmark","North Sea","No","No","Solea solea","Soleidae","&nbsp"
37.9,"TL",0.504,-5.36,"F",NA,NA,NA,2.86,"Italy","Adriatic Sea","Yes","No","Solea solea","Soleidae","annuli on many otoliths"
38,"TL",0.425,-0.1,"F",NA,16,27.5,2.79,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
38.1,"TL",0.394,0.2,"F",NA,16.1,27,2.76,"Netherlands","Dutch ports","Yes","No","Solea solea","Soleidae","annuli on many otoliths"
38.3,"TL",0.492,-3.57,"",NA,NA,NA,2.86,"Italy","MN Adriatic Sea","Yes","No","Solea solea","Soleidae","annuli on many otoliths"
38.4,"TL",0.306,-1.7,"F",NA,16.9,26.5,2.65,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
38.5,"TL",0.503,1.2,"F",NA,15.3,NA,2.87,"Netherlands","Dutch ports","Yes","No","Solea solea","Soleidae","annuli on many otoliths"
38.6,"TL",0.437,0.8,"F",NA,15.7,27,2.81,"Netherlands","Dutch ports","Yes","No","Solea solea","Soleidae","annuli on many otoliths"
38.8,"TL",0.24,-1.09,"M",NA,NA,NA,2.56,"Spain","Castellon coast","No","No","Solea solea","Soleidae","annuli on many otoliths"
39,"TL",0.4,NA,"",0.25,7,NA,2.78,"Denmark","North Sea","No","No","Solea solea","Soleidae","&nbsp"
39.3,"TL",0.339,0.1,"F",NA,16.4,NA,2.72,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
39.6,"TL",0.352,-0.8,"F",NA,16.5,30.5,2.74,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
39.6,"TL",0.44,-0.46,"",NA,NA,NA,2.84,"Italy","Northern Adriatic (GSA 17)","No","No","Solea solea","Soleidae","&nbsp"
40,"TL",0.148,-3,"",0.1,NA,18.8,2.37,"","North Sea, sub-area IV","No","No","Solea solea","Soleidae","&nbsp"
40.1,"TL",0.68,NA,"",0.6,15.5,NA,3.04,"Italy","Adriatic Sea","Yes","No","Solea solea","Soleidae","&nbsp"
40.2,"TL",0.286,-1.9,"F",NA,16.7,29.5,2.66,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
41.7,"TL",0.213,-2.8,"F",NA,17.4,30,2.57,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
42.4,"TL",0.397,0.09,"M",NA,13,NA,2.85,"France","Douarnenez Bay, Brittany","No","No","Solea solea","Soleidae","annuli on many otoliths"
42.5,"TL",0.17,-1.96,"F",NA,NA,NA,2.49,"Turkey","Izmir Bay, Aegean Sea","No","No","Solea solea","Soleidae","annuli on many otoliths"
44.4,"TL",0.264,-1.5,"F",NA,17,30,2.72,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
46.4,"TL",0.22,-0.75,"F",NA,NA,NA,2.68,"Spain","Castellon coast","No","No","Solea solea","Soleidae","annuli on many otoliths"
46.5,"TL",0.23,-0.6,"F",NA,16.4,27.5,2.7,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
46.6,"TL",0.255,-1.4,"F",NA,16.1,29.5,2.74,"Netherlands","Dutch ports","No","No","Solea solea","Soleidae","annuli on many otoliths"
47.2,"TL",0.274,NA,"F",NA,19,NA,2.79,"France","Gulf of Lion","No","No","Solea solea","Soleidae","annuli on many otoliths"
48.2,"TL",0.329,0.08,"F",NA,13,NA,2.88,"France","Douarnenez Bay, Brittany","No","No","Solea solea","Soleidae","annuli on many otoliths"
48.3,"SL",0.47,NA,"",NA,17.5,NA,3.04,"Portugal","Tagus estuary","No","No","Solea solea","Soleidae","annuli on many otoliths"
